Name,Link
"Vanucci, Pietro di Cristoforo",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=1778

"Vanvitelli, Gaspare",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=5660

"Vanvitelli, Luigi",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=3262

"Varallo, Tanzio da",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=1921

"Vardy, John",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=11591

"Varga, Nandor Lajos",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=3264

"Vargas, Jose",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=24501

"Varin, Charles Nicolas",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=3265

"Varin, Jean",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=2295

"Varin, Pierre",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=9656

"Varin, R.",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=3266

Varin Fr�res,https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=27949

Various Artists,https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=3267

"Varley, Cornelius",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=6573

"Varley, John",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=2787

"Varley, Robert",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=6433

"Vasarely, Victor",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=3268

"Vasari, Giorgio",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=3269

"Vasconi, Filippo",https://web.archive.org/web/20121006053511/http://www.nga.gov/cgi-bin/tsearch?artistid=14776

"Vase, Pierre du",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=6445

"Vasi, Giuseppe",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=3270

"Vasi, Joseph",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=3270

"Vasilieff, Nicolai",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=25859

"Vasina, Dariusz",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=23972

"Vassallo, Antonio Maria",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=1949

"Vassilakis, Panayotis",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=3163

"Vaughan, Robert",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=6211

"Vaughn, Annie L.",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=8164

"Vaughn, John Keith",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=9874

"Vaughn, Keith",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=9874

"Vavak, Joseph",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=34100

"Vecchi, Floriano",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=21079

"Vecchia, Pietro della",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=6893

"Vecellio, Tiziano",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=1932

"Vedder, Elihu",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=2788

"Veen, Otto van",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=6260

"Vegetius Renatus, Flavius",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=7083

"Veit, Philipp",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=31151

"Veith, Philipp",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=35653

"Vel�zquez, Diego",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=1950

"Vel�zquez, Diego Rodriquez de Silva y",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=1950

"Velde, Adriaen van de",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=3271

"Velde, Bram Van",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=9890

"Velde, Esaias van de",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=14862

"Velde, Willem van de the Younger",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=2790

"Velde I, Esaias van de",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=2789

"Velde I, Willem van de",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=14063

"Velde II, Jan van de",https://web.archive.org/web/20121006053516/http://www.nga.gov/cgi-bin/tsearch?artistid=3272

